Year,Title,Authors,Conference,Paper,BibTeX,Award,Project Website,Research Area,Project Title,Image
2020,Light Commands: Laser-Based Audio Injection on Voice-Controllable Systems,"Takeshi Sugawara, Ben Cyr, Sara Rampazzi, Daniel Genkin, Kevin Fu","In Proceedings of USENIX Security Symposium 2020, August 2020",https://www.usenix.org/conference/usenixsecurity20/presentation/sugawara,"@inproceedings{sugawara2020light,
  title={Light Commands: Laser-Based Audio Injection Attacks on Voice-Controllable Systems},
  author={Sugawara, Takeshi and Cyr, Benjamin and Rampazzi, Sara and Genkin, Daniel and Fu, Kevin},
  booktitle={29th {USENIX} Security Symposium ({USENIX} Security 20)},
  year={2020}
}",,https://lightcommands.com/,,,
2024,AquaSonic: Acoustic Manipulation of Underwater Data Center Operations and Resource Management,"Jennifer Sheldon, Weidong Zhu, Adnan Abdullah, Sri Hrushikesh Varma Bhupathiraju, Takeshi Sugawara, Kevin R. B. Butler, Md Jahidul Islam, Sara Rampazzi","Proceedings of the IEEE Symposium on Security & Privacy (IEEE S&P), May 20, 2024 ",,,,https://cpseclab.github.io/aquasonic/,"Critical Infrastructure Security
",Critical Infrastructure Security,
2024,Minding the Semantic Gap for Effective Storage-Based Ransomware Defense,"Weidong Zhu, Grant Hernandez, Washington Garcia, Dave (Jing) Tian, Sara Rampazzi, Kevin Butler",Proceedings of the 38th International Conference on Massive Storage Systems and Technology (MSST 2024),,,,,,,
2024,PASA: Attack Agnostic Unsupervised Adversarial Detection using Prediction & Attribution Sensitivity Analysis,"Dipkamal Bhusal, Md Tanvirul Alam, Monish Kumar Manikya Veerabhadran, Michael Clifford, Sara Rampazzi, Nidhi Rastogi",Proceedings of the IEEE European Symposium on Security and Privacy 2024 (Euro S&P 2024),,,,,,,
2024,On the Vulnerability of Traffic Light Recognition Systems to Laser Illumination Attacks,"Sri Hrushikesh Varma Bhupathiraju, Takami Sato, Michael Clifford, Takeshi Sugawara, Qi Alfred Chen, Sara Rampazzi",In Proceedings of VehicleSec Symposium 2024,,,,,,,
2024,Invisible Reflections: Leveraging Infrared Laser Reflections to Target Traffic Sign Perception,"Takami Sato, Sri Hrushikesh Varma Bhupathiraju, Michael Clifford, Takeshi Sugawara, Qi Alfred Chen, Sara Rampazzi",Proceedings of the Network and Distributed System Security Symposium (NDSS 2024),,,,https://sites.google.com/view/cav-sec/ilr-attack,"Autonomous Systems Security
",Physical attacks on autonomous vehicles perception,
,Adversarial Sensor Attack on LiDAR-based Perception in Autonomous Driving,,,,,,https://dl.acm.org/ft_gateway.cfm?id=3339815&ftid=2095245&dwn=1&CFID=86989710&CFTOKEN=73ce75bf20c2654a-3A118308-F375-21FE-632998338ACEB49F,"Autonomous Systems Security
",Physical attacks on autonomous vehicles perception,
,Automated Tracking System For LiDAR Spoofing Attacks On Moving Targets,,,,,Best Demo Award Runner up,https://sites.google.com/view/lidarspoofingattack,"Autonomous Systems Security
",Physical attacks on autonomous vehicles perception,
,Manipulating Critical Temperature-Based Control Systems Using Rectification Attacks,,,,,,https://dl.acm.org/ft_gateway.cfm?id=3354195&ftid=2095322&dwn=1&CFID=86989835&CFTOKEN=676ed7d5ba1e9014-3A1CDCE7-FF67-A6C6-620941082C17A7C0,Healthcare Security & Privacy,Signal injection attacks on safety-critical medical devices,
,Automating Decontamination of N95 Masks for Frontline Workers in the COVID 19 Pandemic,,,,,,https://dl.acm.org/doi/10.1145/3384419.3430613,Healthcare Security & Privacy,"Safe wireless sensor technology for decontamination process verification
",
,IoT Two Factor Neurometric Authentication System using Wearable EEG,,,,,,https://sararampazzi.com/doc/Rodriguez_eeg_SafeThings2019.pdf,IOT security & privacy,IoT Security & Privacy,
,Blue Note: How intentional acoustic interference damages availability and integrity in hard disk drives and operating systems,,,,,,https://spqr.eecs.umich.edu/papers/bolton-blue-note-IEEESSP-2018.pdf,"Critical Infrastructure Security
","Critical Infrastructure Security
",
2024,The Elephant in the Room: Software and Hardware Security Vulnerabilities of Portable Sequencing Devices,"Carson Stillman, Jonathan E Bravo, Christina Boucher, Sara Rampazzi",,,,,,,,
2022,Side Eye: Characterizing the Limits of POV Acoustic Eavesdropping from Smartphone Cameras with Rolling Shutters and Movable Lenses,"Yan Long, Pirouz Naghavi, Blas Kojusner, Kevin Butler, Sara Rampazzi, Kevin Fu",2023 IEEE Symposium on Security and Privacy (SP),,,,https://ieeexplore.ieee.org/abstract/document/10179313,,,
